지점,지점명,일시,평균기온(°C)
108,서울,2011-10-02,13.3
108,서울,2011-10-03,13.8
108,서울,2011-10-04,14.9
108,서울,2011-10-05,16.4
108,서울,2011-10-06,16.5
108,서울,2011-10-07,15.4
108,서울,2011-10-08,16.2
108,서울,2011-10-09,16.6
108,서울,2011-10-10,16.9
108,서울,2011-10-11,16.5
108,서울,2011-10-12,14.7
108,서울,2011-10-13,16.6
108,서울,2011-10-14,14.4
108,서울,2011-10-15,13
108,서울,2011-10-16,14.8
108,서울,2011-10-17,11.2
108,서울,2011-10-18,9.4
108,서울,2011-10-19,12.8
108,서울,2011-10-20,15.5
108,서울,2011-10-21,17.3
108,서울,2011-10-22,17.1
108,서울,2011-10-23,16.5
108,서울,2011-10-24,12.3
108,서울,2011-10-25,7.6
108,서울,2011-10-26,9.5
108,서울,2011-10-27,12.7
108,서울,2011-10-28,14.5
108,서울,2011-10-29,12
108,서울,2011-10-30,14.8
108,서울,2011-10-31,15
108,서울,2011-11-01,16.1
108,서울,2011-11-02,16.2
108,서울,2011-11-03,16.8
108,서울,2011-11-04,18.4
108,서울,2011-11-05,19.9
108,서울,2011-11-06,14.6
108,서울,2011-11-07,15.1
108,서울,2011-11-08,14.9
108,서울,2011-11-09,14.5
108,서울,2011-11-10,14.1
108,서울,2011-11-11,12.5
108,서울,2011-11-12,12
108,서울,2011-11-13,11.3
108,서울,2011-11-14,6.4
108,서울,2011-11-15,7.2
108,서울,2011-11-16,10.9
108,서울,2011-11-17,13.6
108,서울,2011-11-18,14.2
108,서울,2011-11-19,10.6
108,서울,2011-11-20,.4
108,서울,2011-11-21,1.6
108,서울,2011-11-22,5.6
108,서울,2011-11-23,2.8
108,서울,2011-11-24,-1.6
108,서울,2011-11-25,2.8
108,서울,2011-11-26,5.6
108,서울,2011-11-27,13.5
108,서울,2011-11-28,14.6
108,서울,2011-11-29,11.3
108,서울,2011-11-30,4.7
108,서울,2011-12-01,5.8
108,서울,2011-12-02,5.5
108,서울,2011-12-03,5.3
108,서울,2011-12-04,2.5
108,서울,2011-12-05,1.5
108,서울,2011-12-06,3.9
108,서울,2011-12-07,4
108,서울,2011-12-08,.1
108,서울,2011-12-09,-2.7
108,서울,2011-12-10,-1.7
108,서울,2011-12-11,2.8
108,서울,2011-12-12,3.5
108,서울,2011-12-13,1.5
108,서울,2011-12-14,2.4
108,서울,2011-12-15,-3.9
108,서울,2011-12-16,-7.1
108,서울,2011-12-17,-5.8
108,서울,2011-12-18,-2.4
108,서울,2011-12-19,-2.4
108,서울,2011-12-20,-.3
108,서울,2011-12-21,1.9
108,서울,2011-12-22,-5.5
108,서울,2011-12-23,-5.4
108,서울,2011-12-24,-5.2
108,서울,2011-12-25,-7.1
108,서울,2011-12-26,-7.1
108,서울,2011-12-27,-4
108,서울,2011-12-28,-.5
108,서울,2011-12-29,-1.7
108,서울,2011-12-30,-3
108,서울,2011-12-31,-1.9
108,서울,2012-01-01,-3
108,서울,2012-01-02,-4.8
108,서울,2012-01-03,-4.5
108,서울,2012-01-04,-7.4
108,서울,2012-01-05,-5.7
108,서울,2012-01-06,-2.8
108,서울,2012-01-07,-3.8
108,서울,2012-01-08,-2.5
